Priority,Category,File,Line,Current Header,Suggested Header,Issue,First Content
High,What is X?,docs/cloud/features/04_infrastructure/warehouses.md,20,What is compute-compute separation?,,Category: delayed_definition,Compute-compute separation is available for Scale and Enterprise tiers. Each ClickHouse Cloud service includes: - A group of two or more ClickHouse no
High,What is X?,docs/cloud/features/04_infrastructure/warehouses.md,51,What is a warehouse?,,Category: no_clear_definition,"In ClickHouse Cloud, a _warehouse_ is a set of services that share the same data. Each warehouse has a primary service (this service was created first"
High,What is X?,docs/cloud/features/09_AI_ML/langfuse.md,14,What is Langfuse?,,Category: no_clear_definition,"[Langfuse](https://langfuse.com) is an open-source LLM engineering platform that helps teams collaboratively debug, analyze, and iterate on their LLM "
High,What is X?,docs/cloud/guides/infrastructure/01_deployment_options/byoc/03_onboarding/01_standard.md,16,What is Standard Onboarding?,,Category: no_clear_definition,"**Standard onboarding** is the default, guided workflow for deploying ClickHouse in your own cloud account using BYOC. In this approach, ClickHouse Cl"
High,What is X?,docs/cloud/onboard/01_discover/01_what_is.md,10,What is ClickHouse Cloud?,,Category: no_clear_definition,"ClickHouse Cloud is a fully managed cloud service created by the original creators of ClickHouse, the fastest and most popular open-source columnar on"
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/01_real-time-analytics.md,18,What is real-time analytics?,,Category: no_clear_definition,Real-time analytics refers to data processing that delivers insights to end users and customers as soon as the data is generated. It differs from trad
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/02_observability.md,22,What is Observability?,,Category: no_clear_definition,"Observability is understanding a system's internal state by examining its outputs. In software systems, this means understanding what's happening insi"
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/03_data_warehousing.md,23,What are the components of the data lakehouse?,,Category: no_clear_definition,"The modern data lakehouse architecture represents a convergence of data warehouse and data lake technologies, combining the best aspects of both appro"
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/03_data_warehousing.md,49,What are the benefits of the data lakehouse?,,Category: no_clear_definition,The data lakehouse architecture offers several significant advantages when compared directly to both traditional data warehouses and data lakes:
High,What is X?,docs/cloud/onboard/01_discover/02_use_cases/04_machine_learning_and_genAI/02_agent_facing_analytics.md,19,"What are ""agents""?",,Category: no_clear_definition,"One can think of AI agents as digital assistants that have evolved beyond simple task execution (or function calling): they can understand context, ma"
High,What is X?,docs/cloud/onboard/02_migrate/01_migration_guides/08_other_methods/01_clickhouse-local-etl.md,34,What is clickhouse-local?,,Category: no_clear_definition,"Typically, ClickHouse is run in the form of a cluster, where several instances of the ClickHouse database engine are running in a distributed fashion "
High,What is X?,docs/cloud/reference/03_billing/01_billing_overview.md,180,What is a ClickHouse Credit (CHC)?,,Category: no_clear_definition,"A ClickHouse Credit is a unit of credit toward Customer's usage of ClickHouse Cloud equal to one (1) US dollar, to be applied based on ClickHouse's th"
High,What is X?,docs/cloud/reference/03_billing/02_marketplace/overview.md,57,"I subscribed to ClickHouse Cloud as a marketplace user, and then unsubscribed. Now I want to subscribe back, what is the process?â€‹",,Category: no_clear_definition,In that case please subscribe to the ClickHouse Cloud as usual (see sections on subscribing to ClickHouse Cloud via the marketplace). - For AWS market
High,What is X?,docs/cloud/reference/03_billing/03_clickpipes/clickpipes_for_streaming_and_object_storage.md,28,What are ClickPipes replicas?,,Category: no_clear_definition,ClickPipes ingests data from remote data sources via a dedicated infrastructure that runs and scales independently of the ClickHouse Cloud service. Fo
High,What is X?,docs/cloud/reference/03_billing/03_clickpipes/clickpipes_for_streaming_and_object_storage.md,34,What is the default number of replicas and their size?,,Category: no_clear_definition,Each ClickPipe defaults to 1 replica that is provided with 512 MiB of RAM and 0.125 vCPU (XS). This corresponds to **0.0625** ClickHouse compute units
High,What is X?,docs/cloud/reference/03_billing/03_clickpipes/clickpipes_for_streaming_and_object_storage.md,39,What are the ClickPipes public prices?,,Category: no_clear_definition,- Compute: \$0.20 per unit per hour (\$0.0125 per replica per hour for the default replica size) - Ingested data: \$0.04 per GB The price for the Comp
High,What is X?,docs/concepts/olap.md,11,What is OLAP?,,Category: delayed_definition,[OLAP](https://en.wikipedia.org/wiki/Online_analytical_processing) stands for Online Analytical Processing. It is a broad term that can be looked at f
High,What is X?,docs/faq/general/columnar-database.md,15,What is a columnar database?,,Category: delayed_definition,A columnar database stores the data of each column independently. This allows reading data from disk only for those columns that are used in any given
High,What is X?,docs/faq/general/dependencies.md,11,What are the 3rd-party dependencies for running ClickHouse?,,Category: no_clear_definition,ClickHouse does not have any runtime dependencies. It is distributed as a single binary application which is fully self-contained. This application pr
High,What is X?,docs/faq/general/olap.md,11,What Is OLAP?,,Category: delayed_definition,[OLAP](https://en.wikipedia.org/wiki/Online_analytical_processing) stands for Online Analytical Processing. It is a broad term that can be looked at f
High,What is X?,docs/getting-started/example-datasets/github.md,2080,What is the average time before code will be rewritten and the median (half-life of code decay)?,,Category: no_clear_definition,We can use the same principle as [List files that were rewritten most number of time or by most of authors](#list-files-that-were-rewritten-most-numbe
High,What is X?,docs/getting-started/example-datasets/github.md,2140,What is the worst time to write code in sense that the code has highest chance to be re-written?,,Category: no_clear_definition,Similar to [What is the average time before code will be rewritten and the median (half-life of code decay)?](#what-is-the-average-time-before-code-wi
High,What is X?,docs/integrations/data-ingestion/clickpipes/postgres/faq.md,101,What are the costs for ClickPipes for Postgres CDC?,,Category: no_clear_definition,"For detailed pricing information, please refer to the [ClickPipes for Postgres CDC pricing section on our main billing overview page](/cloud/reference"
High,What is X?,docs/integrations/data-ingestion/clickpipes/postgres/toast.md,14,What are TOAST columns in PostgreSQL?,,Category: no_clear_definition,TOAST (The Oversized-Attribute Storage Technique) is PostgreSQL's mechanism for handling large field values. When a row exceeds the maximum row size (
High,What is X?,docs/intro.md,17,What are analytics?,,Category: no_clear_definition,"Analytics, also known as OLAP (Online Analytical Processing), refers to SQL queries with complex calculations (e.g., aggregations, string processing, "
High,What is X?,docs/intro.md,96,What is OLAP?,,Category: no_clear_definition,OLAP scenarios require real-time responses on top of large datasets for complex analytical queries with the following characteristics: - Datasets can 
High,What is X?,docs/managing-data/core-concepts/parts.md,13,What are table parts in ClickHouse?,,Category: no_clear_definition,<br /> The data from each table in the ClickHouse [MergeTree engine family](/engines/table-engines/mergetree-family) is organized on disk as a collect
High,What is X?,docs/use-cases/AI_ML/MCP/index.md,25,What is MCP's architecture?,,Category: no_clear_definition,"MCP follows a client-server architecture: * Clients (like Claude Desktop, Cursor, or VS Code) establish connections with MCP servers. You can see a co"
High,What is X?,docs/use-cases/observability/clickstack/managing/materialized_views.md,34,What are incremental materialized views,,Category: no_clear_definition,"Incremental materialized views allow you to shift the cost of computation from query time to insert time, resulting in significantly faster `SELECT` q"
Medium,Too Generic,docs/cloud/onboard/02_migrate/01_migration_guides/07_OSS_to_Cloud/02_oss_to_cloud_backups.md,23,Overview,,Header 'Overview' is generic but content discusses specific features/concepts,There are two primary methods to migrate data from self-managed ClickHouse (OSS) to ClickHouse Cloud: - Using the [`remoteSecure()`](/cloud/migration/
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/anyIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`any`](/sql-reference/aggregate-functions/reference/a
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/argMaxIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`argMax`](/sql-reference/aggregate-functions/referenc
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/argMinIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`argMin`](/sql-reference/aggregate-functions/referenc
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/avgIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`avg`](/sql-reference/aggregate-functions/reference/a
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/avgMap.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Map`](/sql-reference/aggregate-functions/combinators#-map) combinator can be applied to the [`avg`](/sql-reference/aggregate-functions/reference
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/avgMerge.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Merge`](/sql-reference/aggregate-functions/combinators#-state) combinator can be applied to the [`avg`](/sql-reference/aggregate-functions/refer
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/avgMergeState.md,15,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`MergeState`](/sql-reference/aggregate-functions/combinators#-state) combinator can be applied to the [`avg`](/sql-reference/aggregate-functions/
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/avgResample.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Resample`](/sql-reference/aggregate-functions/combinators#-resample) combinator can be applied to the [`count`](/sql-reference/aggregate-functio
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/avgState.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`State`](/sql-reference/aggregate-functions/combinators#-state) combinator can be applied to the [`avg`](/sql-reference/aggregate-functions/refer
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/countIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`count`](/sql-reference/aggregate-functions/reference
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/countResample.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Resample`](/sql-reference/aggregate-functions/combinators#-resample) combinator can be applied to the [`count`](/sql-reference/aggregate-functio
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/groupArrayDistinct.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`groupArrayDistinct`](/sql-reference/aggregate-functions/combinators#-foreach) combinator can be applied to the [`groupArray`](/sql-reference/agg
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/groupArrayResample.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Resample`](/sql-reference/aggregate-functions/combinators#-resample) combinator can be applied to the [`groupArray`](/sql-reference/aggregate-fu
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/maxMap.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Map`](/sql-reference/aggregate-functions/combinators#-map) combinator can be applied to the [`max`](/sql-reference/aggregate-functions/reference
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/maxSimpleState.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`SimpleState`](/sql-reference/aggregate-functions/combinators#-simplestate) combinator can be applied to the [`max`](/sql-reference/aggregate-fun
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/minMap.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Map`](/sql-reference/aggregate-functions/combinators#-map) combinator can be applied to the [`min`](/sql-reference/aggregate-functions/reference
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/minSimpleState.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`SimpleState`](/sql-reference/aggregate-functions/combinators#-simplestate) combinator can be applied to the [`min`](/sql-reference/aggregate-fun
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/quantilesTimingArrayIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Array`](/sql-reference/aggregate-functions/combinators#-array) and [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be 
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/quantilesTimingIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`quantilesTiming`](/sql-reference/aggregate-functions
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/sumArray.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Array`](/sql-reference/aggregate-functions/combinators#-array) combinator can be applied to the [`sum`](/sql-reference/aggregate-functions/refer
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/sumForEach.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`ForEach`](/sql-reference/aggregate-functions/combinators#-foreach) combinator can be applied to the [`sum`](/sql-reference/aggregate-functions/r
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/sumIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`If`](/sql-reference/aggregate-functions/combinators#-if) combinator can be applied to the [`sum`](/sql-reference/aggregate-functions/reference/s
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/sumMap.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Map`](/sql-reference/aggregate-functions/combinators#-map) combinator can be applied to the [`sum`](/sql-reference/aggregate-functions/reference
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/sumSimpleState.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`SimpleState`](/sql-reference/aggregate-functions/combinators#-simplestate) combinator can be applied to the [`sum`](/sql-reference/aggregate-fun
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/uniqArray.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Array`](/sql-reference/aggregate-functions/combinators#-array) combinator can be applied to the [`uniq`](/sql-reference/aggregate-functions/refe
Medium,Too Generic,docs/guides/examples/aggregate_function_combinators/uniqArrayIf.md,12,Description,,Header 'Description' is generic but content discusses specific features/concepts,The [`Array`](/sql-reference/aggregate-functions/combinators#-array) and [`If`](/sql-reference/aggregate-functions/combinators#-if) combinators can be
Medium,Too Generic,docs/guides/sre/keeper/index.md,941,Description,,Header 'Description' is generic but content discusses specific features/concepts,This article describes how to use the built-in `{uuid}` macro setting to create unique entries in ClickHouse Keeper or ZooKeeper. Unique paths help wh
Medium,Too Generic,docs/guides/sre/keeper/index.md,1242,Description,,Header 'Description' is generic but content discusses specific features/concepts,ClickHouse Keeper partially supports ZooKeeper [`reconfig`](https://zookeeper.apache.org/doc/r3.5.3-beta/zookeeperReconfig.html#sc_reconfig_modifying)
Medium,Too Generic,docs/integrations/data-ingestion/kafka/kafka-table-engine-named-collections.md,11,Introduction,,Header 'Introduction' is generic but content discusses specific features/concepts,"In this guide, we will explore how to connect ClickHouse to Kafka using named collections. Using the configuration file for named collections offers s"
Medium,Too Generic,docs/integrations/language-clients/python/index.md,19,Introduction,,Header 'Introduction' is generic but content discusses specific features/concepts,ClickHouse Connect is a core database driver providing interoperability with a wide range of Python applications. - The main interface is the `Client`
Medium,Too Generic,docs/integrations/language-clients/rust.md,18,Overview,,Header 'Overview' is generic but content discusses specific features/concepts,"* Uses `serde` for encoding/decoding rows. * Supports `serde` attributes: `skip_serializing`, `skip_deserializing`, `rename`. * Uses [`RowBinary`](/in"
Medium,Too Generic,docs/use-cases/observability/clickstack/managing/materialized_views.md,24,Introduction,,Header 'Introduction' is generic but content discusses specific features/concepts,ClickStack can exploit [Incremental Materialized Views (IMV)](/materialized-view/incremental-materialized-view) to accelerate visualizations that rely
